Article.ID,User.ID,User.Name,KE..Up.,Novel.KE.Up.,KE.up..biomarker,Novel.other.biomarker.KE.up.,KE.Down.,Novel.KE.Down.,KE.down..biomarker,Novel.other.biomarker.KE.down.,Stressor.BA.BP.,chemical,Species.BA.BP.,Test.system.BA.BP.,Dose.concordance..EP.,Time.concordance..EP.,Correlation.KEs..BP.ES.,Evidence.level..EP.ES.BP.BA.,assay.method..EP.ES.BA.,DOI,Notes
14968883,6128,jian.jiang,nuclear_receptor_changes_pparg,NA,pparg,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,oleic_acid,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,0.1016/j.jsps.2018.07.006,"oil red o staining, the absorbance at 490 nm"
14968994,7736,joost.boeckmans,nuclear_receptor_changes_pparg,NA,pparg,NA,liver_triglyceride_accumulation,NA,not defined,NA,biocide,tebuconazole,human,in vitro,yes,nomeasure,positive correlation,translational,translational study,https://doi.org/ 10.3390/foods10102242,#NAME?
14969186,7549,marth.stinckens,nuclear_receptor_changes_pparg,NA,pparg,NA,liver_triglyceride_accumulation,NA,not defined,NA,pollutant,perfluorobutanesulfonic_acid_(pfbs),human,in vitro,yes,yes,positive correlation,functional,other,10.1080/02772248.2020.1808894,NA
14969297,5829,anna.s.rapisarda,nuclear_receptor_changes_pparg,NA,pparg,NA,liver_triglyceride_accumulation,NA,other,free fa,food supplement,palmitate,human,in vitro,yes,nomeasure,positive correlation,transcriptional,transcriptional study,10.1371/journal.pone.0243938,biomarker ke (down): ffas content in cell media
14969297,5829,anna.s.rapisarda,nuclear_receptor_changes_pparg,NA,pparg,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,palmitate,human,in vitro,yes,nomeasure,positive correlation,transcriptional,transcriptional study,10.1371/journal.pone.0243938,
14969297,5829,anna.s.rapisarda,nuclear_receptor_changes_pparg,NA,pparg,NA,liver_triglyceride_accumulation,NA,other,free fa,food supplement,palmitate,human,in vitro,yes,nomeasure,positive correlation,translational,translational study,10.1371/journal.pone.0243938,biomarker ke (down): ffas content in cell media
14969297,5829,anna.s.rapisarda,nuclear_receptor_changes_pparg,NA,pparg,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,palmitate,human,in vitro,yes,nomeasure,positive correlation,translational,translational study,10.1371/journal.pone.0243938,
14969584,6181,anouk.verhoeven,nuclear_receptor_changes_pparg,NA,pparg,NA,liver_triglyceride_accumulation,NA,not defined,NA,alcohol,ethanol,mouse,in vitro,nomeasure,nomeasure,positive correlation,functional,knockout study,10.1111/acer.13049.,
14969584,6181,anouk.verhoeven,nuclear_receptor_changes_pparg,NA,pparg,NA,liver_triglyceride_accumulation,NA,not defined,NA,food supplement,linoleic_acid,mouse,in vitro,nomeasure,nomeasure,positive correlation,functional,knockout study,10.1111/acer.13049.,
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pparg,NA,pparg,NA,mitochondrial_beta_oxidation,NA,novel,atp,pollutant,"tris(1,3_dichloropropyl)_phosphate_(tdcipp)",human,in vitro,yes,no,negative correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pparg,NA,pparg,NA,mitochondrial_beta_oxidation,NA,novel,atp,pollutant,tricresyl_phosphate_(tmpp),human,in vitro,yes,no,negative correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pparg,NA,pparg,NA,mitochondrial_beta_oxidation,NA,novel,atp,pollutant,2_ethylhexyl_diphenyl_phosphate_(ehdpp),human,in vitro,yes,no,negative correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pparg,NA,pparg,NA,mitochondrial_beta_oxidation,NA,novel,atp,pollutant,triphenyl_phosphate_(tphp),human,in vitro,yes,no,negative correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14969584,6181,anouk.verhoeven,nuclear_receptor_changes_pparg,NA,pparg,NA,novel_inflammation,inflammation,novel,"mcp1, ly6g, f4/8, ip-10, kc",alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study;knockout study,10.1111/acer.13049.,
14968068,7548,sara.sepehri,nuclear_receptor_changes_pparg,NA,pparg,NA,novel_oxidative_stress,oxidative stress,novel,superoxide dismutase,pollutant,mono_2_ethylhexyl_phthalate,human,in vitro,nomeasure,nomeasure,negative correlation,translational,translational study,https://doi.org/10.1016/j.ecoenv.2019.109611,NA
14968068,7548,sara.sepehri,nuclear_receptor_changes_pparg,NA,pparg,NA,novel_oxidative_stress,oxidative stress,novel,tbars,pollutant,mono_2_ethylhexyl_phthalate,human,in vitro,nomeasure,nomeasure,positive correlation,translational,translational study,https://doi.org/10.1016/j.ecoenv.2019.109611,NA
14968572,6128,jian.jiang,nuclear_receptor_changes_pparg,NA,pparg,NA,steatosis,NA,ast;triglyceride,NA,food supplement,aspartame,rat,in vivo,nomeasure,nomeasure,negative correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.nutres.2017.04.002,
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);scd1,NA,pollutant,tricresyl_phosphate_(tmpp),human,in vitro,yes,no,positive correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);scd1,NA,pollutant,"tris(1,3_dichloropropyl)_phosphate_(tdcipp)",human,in vitro,yes,no,positive correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,pollutant,2_ethylhexyl_diphenyl_phosphate_(ehdpp),human,in vitro,yes,no,positive correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);scd1,NA,pollutant,triphenyl_phosphate_(tphp),human,in vitro,yes,no,positive correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,de_novo_lipogenesis_tg_synthesis,NA,dgat2,NA,pollutant,tricresyl_phosphate_(tmpp),human,in vitro,yes,no,positive correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,de_novo_lipogenesis_tg_synthesis,NA,dgat2,NA,pollutant,triphenyl_phosphate_(tphp),human,in vitro,yes,no,positive correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968189,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,fa_uptake,NA,novel,fabp4,pharmaceutical,valproic_acid_(vpa),human,in vitro,yes,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;knockout study,10.1016/j.toxlet.2021.04.016.,"fabp4 functions as a chaperone, binds fa/lipids and brings them to droplets, er, mitochondria..."
14968463,7544,alexandra.gatzios,nuclear_receptor_changes_pxr,NA,pxr,NA,fa_uptake,NA,cd36,NA,pharmaceutical,sodium_valproate,mouse,in vivo,nomeasure,nomeasure,negative correlation,transcriptional,transcriptional study,10.1016/j.taap.2017.03.022,downregulation of nuclear receptors (opposite to aop)
14968766,7544,alexandra.gatzios,nuclear_receptor_changes_pxr,NA,pxr,NA,fa_uptake,NA,triglyceride,NA,pharmaceutical,efavirenz,mouse,ex vivo,nomeasure,nomeasure,positive correlation,functional,recovery study,10.1016/j.jhep.2018.12.038,radiolabelled palmitic acid
14968766,7544,alexandra.gatzios,nuclear_receptor_changes_pxr,NA,pxr,NA,fa_uptake,NA,cd36,NA,pharmaceutical,efavirenz,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.jhep.2018.12.038,
14968766,7544,alexandra.gatzios,nuclear_receptor_changes_pxr,NA,pxr,NA,fa_uptake,NA,cd36,NA,pharmaceutical,efavirenz,mouse,ex vivo,yes,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.jhep.2018.12.038,
14968766,7544,alexandra.gatzios,nuclear_receptor_changes_pxr,NA,pxr,NA,fa_uptake,NA,cd36,NA,pharmaceutical,rifampicin,mouse,ex vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.jhep.2018.12.038,
14968766,7544,alexandra.gatzios,nuclear_receptor_changes_pxr,NA,pxr,NA,fa_uptake,NA,cd36;triglyceride,NA,pharmaceutical,pregnenolone_16a_carbonitrile,mouse,ex vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;recovery study,10.1016/j.jhep.2018.12.038,radiolabelled palmitic acid
14968767,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,fa_uptake,NA,cd36,NA,pharmaceutical,efavirenz,human,in vitro,yes,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study,10.1016/j.jhep.2018.12.038,NA
14968767,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,fa_uptake,NA,cd36,NA,pharmaceutical,efavirenz,mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study;knockout study,10.1016/j.jhep.2018.12.038,NA
14968878,5829,anna.s.rapisarda,nuclear_receptor_changes_pxr,NA,pxr,NA,fa_uptake,NA,pparg,NA,pharmaceutical,rifampicin,mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study,10.1371/journal.pone.0165787,
14968283,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr ;novel,cyp3a4,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,amiodarone,human,in vitro,yes,nomeasure,positive correlation,functional;translational,transcriptional study;other,https://doi.org/10.1016/j.tox.2021.152857,"cyp3a4 is the target gene of pxr and is used as extra confimation. important is that only pxr activation is assessed, other nr can be invlolved as well"
14968283,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr ;novel,cyp3a4,liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,imazalil,human,in vitro,yes,nomeasure,positive correlation,functional;translational,transcriptional study;other,https://doi.org/10.1016/j.tox.2021.152857,"cyp3a4 is the target gene of pxr and is used as extra confimation. important is that only pxr activation is assessed, other nr can be invlolved as well"
14968283,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr ;novel,cyp3a4,liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,tebuconazole,human,in vitro,yes,nomeasure,positive correlation,functional;translational,transcriptional study;other,https://doi.org/10.1016/j.tox.2021.152857,"cyp3a4 is the target gene of pxr and is used as extra confimation. important is that only pxr activation is assessed, other nr can be invlolved as well"
14968283,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr ;novel,cyp3a4,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,benzoic_acid,human,in vitro,yes,nomeasure,positive correlation,functional;translational,transcriptional study;other,https://doi.org/10.1016/j.tox.2021.152857,"cyp3a4 is the target gene of pxr and is used as extra confimation. important is that only pxr activation is assessed, other nr can be invlolved as well"
14968283,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr ;novel,cyp3a4,liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,cyproconazole,human,in vitro,yes,nomeasure,positive correlation,functional;translational,transcriptional study;other,https://doi.org/10.1016/j.tox.2021.152857,"cyp3a4 is the target gene of pxr and is used as extra confimation. important is that only pxr activation is assessed, other nr can be invlolved as well"
14968283,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr ;novel,cyp3a4,liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,prochloraz,human,in vitro,yes,nomeasure,positive correlation,functional;translational,transcriptional study;other,https://doi.org/10.1016/j.tox.2021.152857,"cyp3a4 is the target gene of pxr and is used as extra confimation. important is that only pxr activation is assessed, other nr can be invlolved as well"
14968283,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr ;novel,cyp3a4,liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,flusilazone,human,in vitro,yes,nomeasure,positive correlation,functional;translational,transcriptional study;other,https://doi.org/10.1016/j.tox.2021.152857,"cyp3a4 is the target gene of pxr and is used as extra confimation. important is that only pxr activation is assessed, other nr can be invlolved as well"
14968283,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr ;novel,cyp3a4,liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,propioconazole,human,in vitro,yes,nomeasure,positive correlation,functional;translational,transcriptional study;other,https://doi.org/10.1016/j.tox.2021.152857,"cyp3a4 is the target gene of pxr and is used as extra confimation. important is that only pxr activation is assessed, other nr can be invlolved as well"
14968467,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,liver_triglyceride_accumulation,NA,triglyceride;novel,free fatty acids,pollutant,perfluorooctane_sulfonate(pfos),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study,10.1016/j.aquatox.2016.04.013,NA
14968766,7544,alexandra.gatzios,nuclear_receptor_changes_pxr,NA,pxr,NA,liver_triglyceride_accumulation,NA,triglyceride;ast,NA,pharmaceutical,efavirenz,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,other,10.1016/j.jhep.2018.12.038,
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,mitochondrial_beta_oxidation,NA,novel,atp,pollutant,"tris(1,3_dichloropropyl)_phosphate_(tdcipp)",human,in vitro,yes,no,negative correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,mitochondrial_beta_oxidation,NA,novel,atp,pollutant,tricresyl_phosphate_(tmpp),human,in vitro,yes,no,negative correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,mitochondrial_beta_oxidation,NA,novel,atp,pollutant,2_ethylhexyl_diphenyl_phosphate_(ehdpp),human,in vitro,yes,no,negative correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,mitochondrial_beta_oxidation,NA,novel,atp,pollutant,triphenyl_phosphate_(tphp),human,in vitro,yes,no,negative correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968766,7544,alexandra.gatzios,nuclear_receptor_changes_pxr,NA,pxr,NA,mitochondrial_beta_oxidation,NA,acox1,cpt2,pharmaceutical,efavirenz,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.jhep.2018.12.038,
14968767,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,novel_cholesterol_synthesis,cholesterol synthesis,novel,sqle,pharmaceutical,efavirenz,human,in vitro,yes,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study,10.1016/j.jhep.2018.12.038,NA
14968767,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,novel_cholesterol_synthesis,cholesterol synthesis,novel,sqle,pharmaceutical,efavirenz,mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study;knockout study,10.1016/j.jhep.2018.12.038,NA
14968767,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,novel_hdl_uptake,hdl uptake,novel,sr-bi,pharmaceutical,efavirenz,mouse,in vivo,yes,nomeasure,negative correlation,transcriptional;translational;functional,transcriptional study;translational study;knockout study,10.1016/j.jhep.2018.12.038,hdl incrase in the blood is linkes to adverse effects on health (increased their risk of cvd)
14968767,6181,anouk.verhoeven,nuclear_receptor_changes_pxr,NA,pxr,NA,novel_hdl_uptake,hdl uptake,novel,sr-bi,pharmaceutical,efavirenz,human,in vitro,yes,nomeasure,negative correlation,transcriptional;translational;functional,transcriptional study;translational study,10.1016/j.jhep.2018.12.038,hdl incrase in the blood is linkes to adverse effects on health (increased their risk of cvd)
14968766,7544,alexandra.gatzios,nuclear_receptor_changes_pxr,NA,pxr,NA,novel_inflammation,inflammation,novel,ccl2,pharmaceutical,efavirenz,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.jhep.2018.12.038,inflammation
14968061,7544,alexandra.gatzios,other_receptor_changes_ahr,NA,ahr,NA,fa_uptake,NA,cd36,NA,pharmaceutical,doxorubicin,rat,in vivo,yes,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.ejphar.2018.11.018,high dose causes downregulation
14968061,7544,alexandra.gatzios,other_receptor_changes_ahr,NA,ahr,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,doxorubicin,rat,in vivo,yes,nomeasure,positive correlation,functional,other,10.1016/j.ejphar.2018.11.018,
14969210,7736,joost.boeckmans,other_receptor_changes_ahr,NA,ahr,NA,liver_triglyceride_accumulation,NA,not defined,NA,pollutant,benzo(a)pyrene,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,https://doi.org/10.3390/antiox10081314,#NAME?
14968675,6181,anouk.verhoeven,other_receptor_changes_ahr,NA,ahr,NA,mitochondrial_beta_oxidation,NA,novel;cpt1,"acs, thioesterase, slc25a20, fabps, dbi, scp2",pollutant,"2,3,7,8_tetrachlorodibenzo_p_dioxin_(tcdd)",mouse,in vivo,yes,yes,negative correlation,transcriptional;translational,transcriptional study;translational study,10.1038/s41598-021-95214-0,"?-oxidation in tcdd-induced hepatic steatosis involves the (i) repression of fa binding proteins, (ii) repression of fa activation, and (iii) induction of thioesterase activity"
14969210,7736,joost.boeckmans,other_receptor_changes_ahr,NA,ahr,NA,novel_cyp450,cyp450 changes,novel,"cyp1a1, cyp1b1",pollutant,benzo(a)pyrene,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,https://doi.org/10.3390/antiox10081314,
14968854,6181,anouk.verhoeven,other_receptor_changes_ahr,NA,ahr,NA,nuclear_receptor_changes_ppara,NA,ppara,NA,pollutant,polychlorinated_biphenyls_(pcbs),rat,in vivo,yes,yes,negative correlation,transcriptional,transcriptional study;inhibitor/inducer study,10.1093/toxsci/kfv215,pcb126 considered as a pollutant
14968854,6181,anouk.verhoeven,other_receptor_changes_ahr,NA,ahr,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,polychlorinated_biphenyls_(pcbs),rat,in vivo,yes,yes,positive correlation,functional ,transcriptional study;inhibitor/inducer study,10.1093/toxsci/kfv215,pcb126 considered as a pollutant
14968061,7544,alexandra.gatzios,other_receptor_changes_ahr,NA,ahr,NA,peroxisomal_beta_oxidation,NA,acox1,NA,pharmaceutical,doxorubicin,rat,in vivo,yes,nomeasure,negative correlation,transcriptional,transcriptional study,10.1016/j.ejphar.2018.11.018,
14968675,6181,anouk.verhoeven,other_receptor_changes_ahr,NA,ahr,NA,peroxisomal_beta_oxidation,NA,novel;acox1,"acs, thioesterase, slc25a20, fabps, dbi, scp2",pollutant,"2,3,7,8_tetrachlorodibenzo_p_dioxin_(tcdd)",mouse,in vivo,yes,yes,negative correlation,transcriptional;translational,transcriptional study;translational study,10.1038/s41598-021-95214-0,"?-oxidation in tcdd-induced hepatic steatosis involves the (i) repression of fa binding proteins, (ii) repression of fa activation, and (iii) induction of thioesterase activity"
14968061,7544,alexandra.gatzios,other_receptor_changes_ahr,NA,ahr,NA,vldl_secretion,NA,apob100,NA,pharmaceutical,doxorubicin,rat,in vivo,yes,nomeasure,negative correlation,transcriptional,transcriptional study,10.1016/j.ejphar.2018.11.018,lpl also downregulated
14968703,7544,alexandra.gatzios,other_receptor_changes_novel_cb1,NA,novel_cb1,cb1,de_novo_lipogenesis_fa_synthesis,NA,scd1,NA,food supplement,arachidonic_acid,human,in vitro,yes,nomeasure,positive correlation,translational,translational study,10.4254/wjh.v12.i3.84,ratio with dha
14969418,6181,anouk.verhoeven,other_receptor_changes_novel_cb1,NA,novel_cb1,cb1,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,arachidonyl_2_chloromethylamide_(acea),human,in vitro,nomeasure,nomeasure,positive correlation,functional,other,10.1177/2058738419832714,regulation through cpt1 and srebf1 (according to previous data)
14968703,7544,alexandra.gatzios,other_receptor_changes_novel_cb1,NA,novel_cb1,cb1,mitochondrial_beta_oxidation,NA,ppara,NA,food supplement,arachidonic_acid,human,in vitro,yes,nomeasure,negative correlation,translational,translational study,10.4254/wjh.v12.i3.84,
14969418,6181,anouk.verhoeven,other_receptor_changes_novel_cb2,NA,novel_cb2,cb2,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,am1241_(2_iodo_5_nitrophenyl)_[1_(methylpiperidin_2_ylmethyl)_1h_indol_3_yl]methanone,human,in vitro,nomeasure,nomeasure,positive correlation,functional,other,10.1177/2058738419832714,previous regulation through cpt1 and srebf1 (according to previous data)
14968954,5956,birgitte.lindeman,other_receptor_changes_novel_grp55,NA,novel_grp55,novel_grp55 ;use of specific grp55 agonist,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,o_1602,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,https://doi.org/10.3390/ijms22063091,
14968954,5956,birgitte.lindeman,other_receptor_changes_novel_grp55,NA,novel_grp55 ;akt2,grp55,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,o_1602,human,in vitro,yes,nomeasure,positive correlation,functional;transcriptional,inhibitor/inducer study,https://doi.org/10.3390/ijms22063091,
14968954,5956,birgitte.lindeman,other_receptor_changes_novel_grp55,NA,novel_grp55 ;srebf1(srebp1-1c),grp55,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,o_1602,human,in vitro,yes,nomeasure,positive correlation,functional;transcriptional,inhibitor/inducer study,https://doi.org/10.3390/ijms22063091,
14969587,6181,anouk.verhoeven,other_receptor_changes_novel_tlr4,NA,novel_tlr4;novel,tlr4,novel_oxidative_stress,oxdidative stess,novel,ros,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;inhibitor/inducer study,10.1038/srep33513,ros is an biomarkerof oxidative stress
14968155,6181,anouk.verhoeven,peroxisomal_beta_oxidation,NA,novel,ehhadh,fatty_liver,NA,novel,lipid droplets (microvescular),pharmaceutical,fenofibrate,mouse,in vivo,nomeasure,nomeasure,negative correlation,translational,translational study,,more research needed
14968169,6128,jian.jiang,peroxisomal_beta_oxidation,NA,acox1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,perfluorooctane_sulfonate(pfos),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.envint.2019.105262,
14968169,6128,jian.jiang,peroxisomal_beta_oxidation,NA,acox1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,chlorinated_polyfluorooctane_sulfonate_(cl_pfos),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.envint.2019.105262,
14968169,6128,jian.jiang,peroxisomal_beta_oxidation,NA,acox1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,6:2_chlorinated_polyfluoroalkyl_ether_sulfonate_(6:2_cl_pfesa),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.envint.2019.105262,
14968169,6128,jian.jiang,peroxisomal_beta_oxidation,NA,novel,cyp1a,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,chlorinated_polyfluorooctane_sulfonate_(cl_pfos),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.envint.2019.105262,
14968467,6181,anouk.verhoeven,peroxisomal_beta_oxidation,NA,novel,atp,liver_triglyceride_accumulation,NA,triglyceride;novel,free fatty acids,pollutant,perfluorooctane_sulfonate(pfos),fish,in vivo,nomeasure,nomeasure,negative correlation,transcriptional;functional,transcriptional study,10.1016/j.aquatox.2016.04.013,atp decrease was related to decrease in the fa oxidaition
14968515,6128,jian.jiang,peroxisomal_beta_oxidation,NA,ppara,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,fructose,mouse,in vivo,nomeasure,nomeasure,negative correlation,transcriptional,transcriptional study,10.1016/j.jnutbio.2016.09.010,he staining lipid droplets.
14968515,6128,jian.jiang,peroxisomal_beta_oxidation,NA,ppara,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,high_fructose_corn_syrup_55_(hfcs_55),mouse,in vivo,nomeasure,nomeasure,negative correlation,transcriptional;functional,transcriptional study,10.1016/j.jnutbio.2016.09.010,he staining lipid droplets.
14968655,7548,sara.sepehri,peroxisomal_beta_oxidation,NA,acox1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,erucic_acid,rat,in vivo,no,no,negative correlation,functional,inhibitor/inducer study;transcriptional study,10.1074/jbc.ra120.013583,monosaturated omega-9 fatty acid present in rapeseed oil (canola)
14968655,7548,sara.sepehri,peroxisomal_beta_oxidation,NA,novel,peroxisomal fao,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,erucic_acid,rat,in vivo,no,no,positive correlation,functional,inhibitor/inducer study,10.1074/jbc.ra120.013583,"monosaturated omega-9 fatty acid present in rapeseed oil (canola). the compound is metabolised by peroxisomal beta oxidation. the metabolite disrupts mitochondrial beta oxidation, therefore inducing steatosis"
14968675,6181,anouk.verhoeven,peroxisomal_beta_oxidation,NA,novel;acox1,"acs, thioesterase, slc25a20, fabps, dbi, scp2",liver_triglyceride_accumulation,NA,triglyceride;other,ffa,pollutant,"2,3,7,8_tetrachlorodibenzo_p_dioxin_(tcdd)",mouse,in vivo,yes,yes,negative correlation,transcriptional;translational;functional,transcriptional study;translational study,10.1038/s41598-021-95214-0,NA
14968854,6181,anouk.verhoeven,peroxisomal_beta_oxidation,NA,acox1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,polychlorinated_biphenyls_(pcbs),rat,in vivo,nomeasure,yes,negative correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1093/toxsci/kfv215,if peroxisomal oxidation decreases -> lipid accumulation
